[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3989292603.304,05/30/2026,8:47 am
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A4,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB824,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,105.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3989301554.111,90.1448974609375,10000.0185546875,0.135686923296191,5.02315024931879E-5,1,0.999253354069792,40.0298881530762,1.98164739661899,20.1500002294779,0.658036778953414,0.139432534120516,2.5,0.00334730530671604,0.135539794138798,0.00384601388388299,90.145263671875,90.145263671875,10000.013671875,10000.0234375,46.7656159341011,17.018341634992,98.4885330200195,0,0,0,40,89.5660247802734,1,4,1,1.89865112304687,56.6959953308105,,,,,,,,,,,,,,,,
,3989301873.071,95.0646209716797,10000.0185546875,,,2,,,,20.1699996852875,,,,,,,95.0646209716797,95.0646209716797,10000.0185546875,10000.0185546875,,,99.1459426879883,,,,40,95.6168899536133,0,0,0,0.027313232421875,52.7859268188477,,,,,,,,,,,,,,,,
,3989302260.6005,100.247383117676,9999.9833984375,0.125986550103111,3.83467161809674E-5,1,0.999253354069792,40.0298881530762,1.98159457129466,20.1600007712841,0.611683779090919,0.126823675476875,2.5,0.00263813813078273,0.125894627697634,0.00302247349820621,100.249557495117,100.249557495117,9999.953125,10000.013671875,47.157993450755,17.0213594600522,99.7432250976563,0,0,0,40,99.5254898071289,1,4,1,1.89971923828125,55.7184753417969,,,,,,,,,,,,,,,,
,3989302490.575,103.655235290527,9999.98046875,,,2,,,,20.1899998375773,,,,,,,103.655235290527,103.655235290527,9999.98046875,9999.98046875,,,100.126335144043,,,,40,104.288040161133,0,0,0,0.042266845703125,52.7859268188477,,,,,,,,,,,,,,,,
,3989302963.065,110.233169555664,9999.99755859375,0.117784002867939,3.00902174991079E-5,1,0.999253354069792,40.0298881530762,1.99380259647893,20.1799999922514,0.575741808095175,0.117453102722672,2.5,0.00214460401194722,0.117722808657362,0.0024497308761023,110.235664367676,110.235664367676,9999.9619140625,10000.033203125,46.921160009428,17.0282909063465,100.814872741699,0,0,0,40,109.485198974609,1,4,1,1.9012451171875,55.2297172546387,,,,,,,,,,,,,,,,
,3989303107.065,112.21932220459,9999.9619140625,,,2,,,,20.1899998375773,,,,,,,112.21932220459,112.21932220459,9999.9619140625,9999.9619140625,,,101.050590515137,,,,40,112.917869567871,0,0,0,0.02655029296875,53.2746849060059,,,,,,,,,,,,,,,,
,3989303665.611,120.22566986084,9999.9833984375,0.110511277875196,2.21378579430315E-5,1,0.999253354069792,40.0298881530762,1.99383637751329,20.1799999922514,0.540552139069651,0.108688948225857,2.5,0.00173971758860248,0.110468692718948,0.00198744001515863,120.227676391602,120.227676391602,9999.953125,10000.013671875,46.9875984335627,17.0292027642487,101.922966003418,0,0,0,40,119.459121704102,1,4,1,1.90017700195313,56.2072334289551,,,,,,,,,,,,,,,,
,3989303723.611,120.691093444824,10000.0087890625,,,2,,,,20.2099999898672,,,,,,,120.691093444824,120.691093444824,10000.0087890625,10000.0087890625,,,101.983360290527,,,,40,121.435890197754,0,0,0,0.046234130859375,53.2746849060059,,,,,,,,,,,,,,,,
,3989304340.135,130.397735595703,10000.033203125,,,2,,,,20.2300001421571,,,,,,,130.397735595703,130.397735595703,10000.033203125,10000.033203125,,,102.870101928711,,,,40,129.722793579102,0,0,0,0.040740966796875,52.7859268188477,,,,,,,,,,,,,,,,
,3989304369.0915,130.212448120117,10000.0185546875,0.103948882987969,4.86907194286706E-5,1,0.999253354069792,40.0298881530762,1.98155988552943,20.2200002968311,0.50568662994567,0.100360794714731,2.5,0.00140412802762886,0.103918146077035,0.00160911433961348,130.214431762695,130.214431762695,10000.013671875,10000.0234375,46.8211115589665,17.0218160915592,102.861587524414,0,0,0,40,129.441467285156,1,4,1,1.90017700195313,53.7634429931641,,,,,,,,,,,,,,,,
,3989304956.655,139.567932128906,9999.9619140625,,,2,,,,20.2399997526407,,,,,,,139.567932128906,139.567932128906,9999.9619140625,9999.9619140625,,,103.647766113281,,,,40,140.495590209961,0,0,0,0.00244140625,52.7859268188477,,,,,,,,,,,,,,,,
,3989305073.5175,140.198692321777,9999.990234375,0.0982858404354668,2.85709944530137E-5,1,0.999253354069792,40.0298881530762,1.98154673599701,20.2300008386374,0.478316838218721,0.0940583786140799,2.5,0.00117648150098067,0.0982628207558085,0.00134939708016658,140.202133178711,140.202133178711,9999.9619140625,10000.0185546875,46.944608865005,17.0264962443307,103.733428955078,0,0,0,40,139.434158325195,1,4,1,1.88568115234375,55.7184753417969,,,,,,,,,,,,,,,,
,3989305573.158,148.097793579102,10000.0048828125,,,2,,,,20.2399997526407,,,,,,,148.097793579102,148.097793579102,10000.0048828125,10000.0048828125,,,104.256217956543,,,,40,149.061614990234,0,0,0,0.044708251953125,53.7634429931641,,,,,,,,,,,,,,,,
