Temperature (K) [50K],Field (T) [50K],Magnetization (A m^2/kg) [50K],Temperature (K) [150K],Magnetization (A m^2/kg) [150K],Temperature (K) [300K],Magnetization (A m^2/kg) [300K]
50.2408599853516,3.0000475585937503,1.3071831215634389,149.923248291016,0.6165234064403143,299.729644775391,0.37735766700254025
50.2400932312012,2.9995990234375003,1.3072126487159712,149.927139282227,0.6163822256572971,299.732788085937,0.3774239974184582
50.2400569915771,2.9988431640625,1.3069897239340575,149.927322387695,0.6164108212408496,299.732574462891,0.37739016311359924
50.2398948669434,2.997594921875,1.306228655687072,149.927795410156,0.6161176865521,299.733001708984,0.3771803528063539
50.2398166656494,2.9955875,1.3055018927183453,149.928398132324,0.6157391411793798,299.733352661133,0.3769610715731798
50.2398834228516,2.99357919921875,1.3047281612441581,149.928611755371,0.615408825143769,299.733932495117,0.37677464714405035
50.2400283813477,2.99157294921875,1.3039134655548488,149.929008483887,0.6150484979910669,299.733352661133,0.3766040528480784
50.2400512695313,2.9895739257812504,1.303189928755705,149.929008483887,0.6147596106486856,299.734497070313,0.3764029904263539
50.2397384643555,2.98782197265625,1.3023724307407192,149.92943572998,0.6144984711854633,299.735855102539,0.37623335169309424
50.2396068572998,2.98553935546875,1.3015817757975252,149.929756164551,0.6141397051461589,299.736419677734,0.37607975228195245
50.2393321990967,2.9835029296875,1.3009097636704674,149.930358886719,0.6139055695903877,299.735641479492,0.37587080344160645
50.239315032959,2.9814750976562503,1.3001098621043812,149.930892944336,0.6135285930774647,299.736145019531,0.37574531236360786
50.2392597198486,2.9794453125,1.2993816356631076,149.931182861328,0.6132742792492942,299.736785888672,0.37548933196156975
50.2396202087402,2.9776645507812503,1.2985536132710214,149.931503295898,0.6129279276031928,299.737716674805,0.3753293883091661
50.2399444580078,2.97562841796875,1.2978435401723882,149.931861877441,0.6126137630781676,299.737930297852,0.3751533116599072
50.2398414611816,2.973729296875,1.2971638384980215,149.931571960449,0.6122735621850568,299.739562988281,0.3749885020265439
50.2396850585937,2.9717095703125,1.2961908749014028,149.931503295898,0.6119594445297178,299.739349365234,0.3748023949045273
