Temperature (K) [50K],Field (T) [50K],Magnetization (A m^2/kg) [50K],Temperature (K) [150K],Magnetization (A m^2/kg) [150K],Temperature (K) [300K],Magnetization (A m^2/kg) [300K]
50.24049949646,3.00014013671875,3.724743705824149,149.981742858887,2.9140074962356928,299.733200073242,2.4558206665837017
50.2397918701172,2.9994519531250003,3.7249750958827716,149.984771728516,2.913941996156184,299.737716674805,2.455854607668167
50.2397689819336,2.9989490234375,3.7245617686527632,149.984741210938,2.9138342379360873,299.738067626953,2.4557391913052458
50.2395076751709,2.9975544921875,3.72362727283457,149.985534667969,2.9133789203149383,299.738571166992,2.4555665044101844
50.2392311096191,2.99566806640625,3.722392358465991,149.985420227051,2.9127749116377544,299.73828125,2.4553393935987193
50.2390556335449,2.9935477539062503,3.721206590383921,149.986106872559,2.912356872669105,299.738632202148,2.454915350265114
50.2388477325439,2.99167548828125,3.7201586218114824,149.986785888672,2.911979827689316,299.739135742188,2.454955330136123
50.2387218475342,2.9896768554687503,3.719347906918991,149.987030029297,2.9115204594777895,299.740142822266,2.454561730169342
50.2385654449463,2.9875638671875,3.718266569430974,149.987739562988,2.911027582318,299.740142822266,2.4543056085361754
50.2385349273682,2.98557294921875,3.716880460639333,149.988311767578,2.910536131116737,299.740646362305,2.454136637793561
50.2385482788086,2.9835662109375,3.715875454286807,149.988746643066,2.9100452912585966,299.740432739258,2.4536970849570787
50.2387046813965,2.98155615234375,3.7151724078680615,149.98917388916,2.9094561873187716,299.741073608398,2.453543933372763
50.2386608123779,2.97966103515625,3.713848187567658,149.989608764648,2.9089623390334824,299.741790771484,2.4533296555986928
50.23903465271,2.97764716796875,3.7127009894748246,149.98999786377,2.908182915733579,299.743286132812,2.4530879073080176
50.2391300201416,2.9756525390625,3.7117227192493245,149.990142822266,2.9081713529922015,299.742584228516,2.4527991967010174
50.2392311096191,2.97378916015625,3.710549929815184,149.990676879883,2.9074815524172544,299.743011474609,2.4525426082865525
50.2392902374268,2.9717578125,3.7094763221509033,149.9912109375,2.907136334428263,299.743942260742,2.452182332867921
50.2393493652344,2.96972421875,3.708356546770754,149.991889953613,2.9067165271399036,299.744583129883,2.452010573350728
50.2395725250244,2.9677162109375,3.707346255123421,149.992820739746,2.9063083742896842,299.744369506836,2.4517532766687364
50.2395610809326,2.96570205078125,3.7063134487575877,149.993392944336,2.9055288990185173,299.74543762207,2.451528668570298
50.2394027709961,2.96367724609375,3.7051763162305873,149.993469238281,2.90507972040621,299.745651245117,2.451160135917658
50.2392120361328,2.9617822265625002,3.704094133332991,149.994613647461,2.9047639018375,299.746566772461,2.4510164919216137
50.2389430999756,2.959782421875,3.703015801698579,149.995109558105,2.9043388326553337,299.747436523438,2.450890668665377
50.2389068603516,2.9577591796875002,3.7018447753894823,149.995788574219,2.9037565652222193,299.747283935547,2.450404037492123
50.2388706207275,2.9556314453125,3.7009202293917545,149.995971679687,2.9034123006914383,299.747787475586,2.4501369749167194
50.2389259338379,2.9537273437500002,3.6998889594050612,149.99633026123,2.903094956926088,299.748443603516,2.4500442610025437
50.2389965057373,2.95182470703125,3.698610004506912,149.996719360352,2.9024747261583417,299.748580932617,2.4496113608035435
50.2389965057373,2.94969501953125,3.697550820571763,149.99683380127,2.9019930480083596,299.748931884766,2.4495195215658856
50.2390995025635,2.94781416015625,3.696394581720798,149.997009277344,2.9013117594808246,299.749435424805,2.449372507323368
50.2389965057373,2.9459265625,3.695250524200649,149.996971130371,2.900982505644553,299.751083374023,2.4489811556494296
50.2387752532959,2.943789453125,3.694152164241079,149.997581481934,2.900465408852167,299.750717163086,2.4486376380266752
50.2385902404785,2.9418924804687503,3.693272789991666,149.997978210449,2.8998633547105874,299.749633789063,2.4484030419631138
