Temperature (K) [50K],Field (T) [50K],Magnetization (A m^2/kg) [50K],Temperature (K) [150K],Magnetization (A m^2/kg) [150K],Temperature (K) [300K],Magnetization (A m^2/kg) [300K]
50.2404995,3.0001401370000003,0.0037247437017543855,149.9817429,0.0029140075000000003,299.7332001,0.0024558206666666664
50.23979187,2.9994519530000003,0.003724975096491228,149.9847717,0.0029139419999999997,299.7377167,0.0024558546052631577
50.23976898,2.998949023,0.0037245617719298247,149.9847412,0.002913834236842105,299.7380676,0.002455739192982456
50.23950768,2.9975544920000003,0.0037236272719298243,149.9855347,0.002913378921052631,299.7385712,0.0024555665087719293
50.23923111,2.9956680660000004,0.0037223923596491227,149.9854202,0.002912774912280702,299.7382813,0.002455339394736842
50.23905563,2.993547754,0.0037212065877192985,149.9861069,0.002912356868421053,299.7386322,0.002454915350877193
50.23884773,2.9916754880000003,0.0037201586228070176,149.9867859,0.0029119798245614034,299.7391357,0.002454955333333333
50.23872185,2.9896768550000004,0.0037193479035087717,149.98703,0.0029115204561403507,299.7401428,0.0024545617280701754
50.23856544,2.987563867,0.0037182665701754386,149.9877396,0.002911027578947368,299.7401428,0.002454305605263158
50.23853493,2.9855729490000003,0.00371688046491228,149.9883118,0.002910536131578947,299.7406464,0.002454136640350877
50.23854828,2.9835662110000003,0.0037158754561403503,149.9887466,0.0029100452894736846,299.7404327,0.0024536970877192983
50.23870468,2.981556152,0.003715172403508772,149.9891739,0.002909456184210526,299.7410736,0.0024535439298245614
50.23866081,2.979661035,0.003713848184210526,149.9896088,0.0029089623421052627,299.7417908,0.002453329657894737
50.23903465,2.977647168,0.00371270099122807,149.9899979,0.0029081829122807015,299.7432861,0.0024530879035087718
50.23913002,2.975652539,0.0037117227192982453,149.9901428,0.002908171350877193,299.7425842,0.002452799192982456
50.23923111,2.97378916,0.0037105499298245616,149.9906769,0.002907481552631579,299.7430115,0.002452542605263158
50.23929024,2.9717578130000004,0.0037094763245614035,149.9912109,0.0029071363333333334,299.7439423,0.0024521823333333334
50.23934937,2.969724219,0.003708356543859649,149.99189,0.0029067165263157893,299.7445831,0.0024520105701754387
50.23957253,2.9677162110000004,0.003707346254385965,149.9928207,0.0029063083771929824,299.7443695,0.002451753280701754
50.23956108,2.965702051,0.003706313447368421,149.9933929,0.0029055288947368416,299.7454376,0.002451528666666667
50.23940277,2.963677246,0.0037051763157894737,149.9934692,0.0029050797192982456,299.7456512,0.002451160131578948
50.23921204,2.961782227,0.0037040941315789476,149.9946136,0.002904763903508772,299.7465668,0.00245101649122807
50.2389431,2.959782422,0.0037030157982456137,149.9951096,0.002904338833333333,299.7474365,0.0024508906666666666
50.23890686,2.95775918,0.0037018447719298245,149.9957886,0.0029037565614035087,299.7472839,0.0024504040350877194
50.23887062,2.9556314450000003,0.0037009202280701755,149.9959717,0.002903412298245614,299.7477875,0.0024501369736842104
50.23892593,2.9537273440000003,0.003699888956140351,149.9963303,0.002903094956140351,299.7484436,0.002450044263157895
50.23899651,2.951824707,0.0036986100087719295,149.9967194,0.002902474728070175,299.7485809,0.002449611359649123
50.23899651,2.94969502,0.003697550824561403,149.9968338,0.002901993043859649,299.7489319,0.0024495195175438596
50.2390995,2.94781416,0.0036963945789473688,149.9970093,0.0029013117631578943,299.7494354,0.0024493725087719295
50.23899651,2.9459265630000004,0.0036952505263157897,149.9969711,0.00290098250877193,299.7510834,0.002448981157894737
50.23877525,2.9437894530000004,0.0036941521666666666,149.9975815,0.0029004654122807014,299.7507172,0.002448637640350877
50.23859024,2.9418924800000004,0.003693272789473684,149.9979782,0.0028998633508771927,299.7496338,0.0024484030438596486
50.238554,2.939875781,0.0036921976315789475,149.9983368,0.0028994139122807015,299.7497864,0.0024481799736842105
50.23847008,2.937850684,0.003690908447368421,149.9990463,0.0028988386491228075,299.7512817,0.0024479705526315792
50.23827362,2.9358439450000002,0.0036900035877192984,149.999115,0.0028986254298245615,299.7515717,0.0024476485000000004
50.23802185,2.9338266600000003,0.0036887964561403506,149.999115,0.002898135157894737,299.7519379,0.0024475263245614036
50.23782921,2.931691309,0.0036879115263157894,149.9994736,0.0028974679385964913,299.7525177,0.002446942745614035
50.23782921,2.929683008,0.003686584614035088,150.0002594,0.0028971403070175436,299.7527924,0.0024471027807017546
50.23776245,2.927787695,0.003685501859649123,150.0006943,0.0028964288771929823,299.7518616,0.002446660043859649
50.2378521,2.925772656,0.003684555552631579,150.0008316,0.002896097140350877,299.7523651,0.0024465773508771924
50.23802567,2.9239022460000004,0.003683339649122807,150.0007935,0.0028955172192982456,299.7530823,0.0024460293157894737
50.23798561,2.9218848630000003,0.003682316877192982,150.0009384,0.002895256807017544,299.7526398,0.002445915289473684
50.23796654,2.919852246,0.003681129061403509,150.0005798,0.002894920447368421,299.7538757,0.00244569448245614
50.23804474,2.917963281,0.0036802163157894736,150.0008698,0.002894226912280702,299.7534485,0.0024452475175438596
50.2381649,2.915965918,0.003679273245614035,150.0019073,0.002893734578947368,299.7542114,0.002445084456140351
50.23833847,2.9139501950000004,0.003678056894736842,150.0023346,0.0028933189298245617,299.7549286,0.0024446739824561404
50.23827171,2.911925977,0.0036767023421052634,150.0027313,0.002892842596491228,299.7562256,0.0024447712280701753
50.23806763,2.9098963870000003,0.0036758571403508774,150.0033035,0.0028921890175438595,299.7565918,0.0024443211228070178
50.23792458,2.907878906,0.0036746776842105267,150.0042343,0.002891558745614035,299.7560883,0.002443859894736842
50.23787117,2.90598877,0.003673606096491228,150.0044785,0.0028914694824561404,299.7572174,0.0024438533333333333
50.23779869,2.9039724610000004,0.003672408394736842,150.0046234,0.0028910739736842106,299.7569275,0.0024434908157894737
50.23780441,2.901964941,0.003671312859649123,150.0051651,0.002890397210526316,299.7584381,0.0024433055175438595
50.23760605,2.899834277,0.0036701875877192982,150.0058746,0.002889922736842105,299.7583008,0.0024431842280701757
50.23757744,2.897947559,0.003669272701754386,150.0060196,0.002889574728070175,299.7575836,0.0024427447719298245
50.23733902,2.8959568360000003,0.0036680267105263157,150.0065231,0.0028889843070175436,299.7585907,0.0024426240175438596
50.23724174,2.8939309570000002,0.003667143271929825,150.0070648,0.002888509657894737,299.7593079,0.0024422025
50.23714066,2.892060059,0.0036659973070175436,150.0074158,0.0028880589649122805,299.7589417,0.002442076543859649
50.23705101,2.889931152,0.0036647635964912276,150.007843,0.002887601543859649,299.7588806,0.002441767807017544
50.2368412,2.8879313480000004,0.0036636841315789473,150.0080261,0.0028872290964912285,299.7600861,0.0024414718245614037
